year,anomaly,total_uncertainty,uncorrelated_uncertainty,correlated_uncertainty,bias_uncertainty,coverage_uncertainty,lower_bound_95pct_bias_uncertainty_range,upper_bound_95pct_bias_uncertainty_range
1850,-0.30950,0.11511,0.00912,0.09255,0.04338,0.05216,-0.40579,-0.23192
1851,-0.19337,0.11618,0.00958,0.09721,0.04269,0.04620,-0.28779,-0.11750
1852,-0.18339,0.11072,0.01073,0.09169,0.04133,0.04504,-0.27454,-0.10496
1853,-0.21098,0.09815,0.00851,0.07829,0.03854,0.04413,-0.29375,-0.14112
1854,-0.26843,0.09068,0.00724,0.07324,0.03695,0.03797,-0.34812,-0.20058
1855,-0.24173,0.08958,0.00622,0.06927,0.03646,0.04310,-0.31821,-0.17362
1856,-0.30534,0.08645,0.00565,0.06787,0.03589,0.03934,-0.38033,-0.23833
1857,-0.42742,0.08716,0.00563,0.06654,0.03338,0.04499,-0.49758,-0.36567
1858,-0.40247,0.09179,0.00610,0.07303,0.03309,0.04427,-0.46987,-0.33946
1859,-0.27896,0.09019,0.00646,0.07375,0.03215,0.04026,-0.34387,-0.21717
1860,-0.23687,0.09425,0.00700,0.07400,0.03037,0.04937,-0.29750,-0.17646
1861,-0.36428,0.10545,0.00821,0.07508,0.03033,0.06704,-0.42387,-0.30183
1862,-0.39720,0.10516,0.00808,0.07605,0.02817,0.06646,-0.45283,-0.33867
1863,-0.32899,0.10604,0.00798,0.06582,0.02899,0.07752,-0.38537,-0.26604
1864,-0.36861,0.09599,0.00781,0.06036,0.02761,0.06890,-0.42054,-0.30746
1865,-0.21322,0.10071,0.00852,0.05684,0.02675,0.07826,-0.26292,-0.15283
1866,-0.20775,0.10212,0.00857,0.06177,0.02695,0.07625,-0.25667,-0.14592
1867,-0.20575,0.10051,0.00870,0.05738,0.02566,0.07794,-0.25158,-0.14521
1868,-0.21610,0.10960,0.00825,0.08285,0.02459,0.06691,-0.25933,-0.15858
1869,-0.28390,0.09477,0.00817,0.06707,0.02398,0.06199,-0.32662,-0.22646
1870,-0.22569,0.08303,0.00810,0.05771,0.02339,0.05431,-0.26742,-0.16950
1871,-0.23173,0.08782,0.00842,0.06474,0.02180,0.05454,-0.27100,-0.17908
1872,-0.24454,0.08320,0.00789,0.06049,0.02240,0.05196,-0.28362,-0.19062
1873,-0.29478,0.08224,0.00777,0.06276,0.02120,0.04812,-0.33429,-0.24508
1874,-0.39171,0.08360,0.00764,0.06085,0.02143,0.05262,-0.43258,-0.34175
1875,-0.24149,0.08385,0.00761,0.06556,0.02221,0.04671,-0.28192,-0.19083
1876,-0.34601,0.08584,0.00730,0.06659,0.02227,0.04883,-0.38946,-0.29529
1877,-0.02539,0.08573,0.00722,0.06261,0.02200,0.05379,-0.06983,0.02300
1878,-0.00461,0.08503,0.00715,0.06508,0.02231,0.04944,-0.04771,0.04513
1879,-0.19775,0.07921,0.00621,0.06274,0.02213,0.04253,-0.24008,-0.14850
1880,-0.20340,0.07601,0.00600,0.05698,0.02233,0.04469,-0.24996,-0.15454
