"Videoanalyse: X (years)";"Videoanalyse: Y (years)";"Videoanalyse: X 2 (years)";"Videoanalyse: Y 2 (years)"
3,01292212339;38,3071527116;3,01292212339;38,3071527116
6,88667913917;43,0417446198;6,88667913917;43,0417446198
13,7733582783;48,6371714204;13,7733582783;48,6371714204
21,5208723099;55,5238505595;21,5208723099;45,624249297
27,9771340029;64,5626169297;27,9771340029;31,4204735725
33,5725608034;74,8926356385;33,5725608034;23,2425420947
39,167987604;82,64014967;37,4463178192;17,2166978479
44,7634144046;92,5397509326;43,0417446198;9,89960126255
50,3588412052;102,439352195;49,0675888666;3,44333956958
55,9542680057;115,351875581;53,8021807747;0,860834892396
61,1192773601;125,251476844;59,3976075753;-0,860834892396
65,4234518221;135,581495552;63,2713645911;-3,44333956958
70,5884611765;144,189844476;68,4363739455;-4,73459190818
76,183887977;152,7981934;73,1709658537;-6,02584424677
80,9184798852;159,684872539;77,4751403156;-8,17793147776
90,8180811478;160,115289986;86,944045911;-11,6212338594
98,9960126255;155,811115524;99,856527977;-16,7862266858
108,895613888;146,772349154;108,034433286;-17,2166427547
117,934380258;137,733582783;115,781922525;-15,4949784792
127,403564075;128,264398967;125,681492109;-15,0645624103
137,733582783;117,934380258;136,011477762;-15,0645624103
147,633184046;108,034778996;145,480631277;-12,4820659971
158,824037647;97,2743428407;154,949784792;-9,89956958393
170,014891248;84,3618194548;165,279770445;-6,02582496413
183,788249527;70,1580437303;178,192252511;-2,15208034433
194,548685681;58,9671901291;191,104734577;3,66994813305E-14
207,891626514;45,1938318508;205,308464849;0,860832137733
222,095402238;30,9900561263;222,955523673;0,860832137733
231,995003501;21,5208723099;231,56384505;0,860832137733
240,603352425;10,7604361549;240,602582496;0,860832137733
249,642118795;2,15208723099;249,210903874;1,2912482066
261,263389842;0,860834892396;261,262553802;0,860832137733
