# OHC[10**22 J]
# Updated on 20 Feb. 2023
# Region : GLOBAL
# A(0-700) : Deviation from 1955 [0-700m]
# A(700-2000) : Deviation from 1955 [700-2000m]
# A(0-2000) : Deviation from 1955 [0-2000m]
# E(0-2000) : Analysis error (confidence interval 95%) [0-2000m]
 Year    A(0-700) A(700-2000)   A(0-2000)   E(0-2000)
 1955        0.00        0.00        0.00        3.69
 1956        1.60        0.58        2.17        3.67
 1957        0.55       -0.15        0.40        3.64
 1958        3.79        0.28        4.07        3.61
 1959        2.15        0.09        2.25        3.64
 1960        3.81        1.20        5.01        3.60
 1961        5.45        1.06        6.51        3.60
 1962        6.57        1.81        8.38        3.57
 1963        5.80        1.98        7.77        3.55
 1964        4.89        2.54        7.44        3.53
 1965        4.47        3.04        7.51        3.50
 1966        5.17        3.33        8.49        3.49
 1967        3.66        2.15        5.81        3.45
 1968        2.42        1.60        4.02        3.40
 1969        3.03        1.93        4.97        3.39
 1970        3.86        2.57        6.43        3.36
 1971        5.32        3.52        8.83        3.28
 1972        6.16        2.04        8.20        3.30
 1973        6.17        2.50        8.67        3.31
 1974        5.78        2.39        8.17        3.36
 1975        7.18        3.69       10.87        3.37
 1976        6.45        3.36        9.81        3.33
 1977        6.34        3.40        9.74        3.34
 1978        6.68        3.17        9.85        3.32
 1979        7.30        2.87       10.17        3.28
 1980        9.18        4.30       13.49        3.25
 1981       10.43        3.80       14.23        3.26
 1982        9.38        2.67       12.05        3.25
 1983        7.71        3.49       11.20        3.23
 1984        8.70        3.77       12.48        3.25
 1985        9.73        4.21       13.94        3.21
 1986        9.15        5.01       14.16        3.21
 1987        8.36        3.93       12.29        3.16
 1988       10.22        4.53       14.75        3.17
 1989       10.03        4.97       15.00        3.19
 1990       10.38        4.60       14.98        3.11
 1991       11.19        4.88       16.07        3.11
 1992       12.25        6.46       18.71        3.08
 1993       12.03        6.92       18.95        3.06
 1994       12.22        6.85       19.07        3.11
 1995       10.48        5.67       16.15        3.06
 1996       12.47        6.66       19.13        3.06
 1997       12.58        7.28       19.86        3.05
 1998       12.71        5.68       18.39        3.03
 1999       14.70        6.90       21.60        3.03
 2000       13.66        6.51       20.17        3.05
 2001       14.78        7.44       22.22        3.05
 2002       17.23        7.99       25.22        2.99
 2003       19.31        9.07       28.38        2.82
 2004       18.53        9.21       27.74        2.65
 2005       18.36        9.78       28.15        2.49
 2006       19.12       10.40       29.53        2.42
 2007       17.67       10.03       27.71        2.37
 2008       19.09       10.40       29.49        2.32
 2009       20.13       10.78       30.91        2.27
 2010       20.02       11.06       31.08        2.27
 2011       20.74       11.75       32.49        2.26
 2012       20.52       12.23       32.75        2.25
 2013       22.35       13.25       35.61        2.34
 2014       22.58       13.71       36.29        2.34
 2015       24.02       14.21       38.22        2.31
 2016       23.02       14.14       37.16        2.31
 2017       25.24       14.94       40.18        2.31
 2018       26.14       14.73       40.86        2.32
 2019       27.37       15.44       42.81        2.35
 2020       27.57       15.74       43.31        2.38
 2021       28.64       16.42       45.06        2.48
 2022       29.89       16.83       46.73        2.53
